Short,Full
ACT,Canberra
ARM,
ASH,
AUK,
BAL,Ballarat
BAT,
BEN,Bendigo
BGC,Albion Park
BHL,
BUL,Bulli
BUN,
CAI,
CAN,Cannington
CAP,
CAS,Casino
CCH,Addington
CON,
COO,
COW,
CRN,Cranbourne
DAR,Darwin
DEV,Devonport
DTO,Dapto
DUB,
GAR,The Gardens
GAW,Gawler
GBN,Goulburn
GEL,Geelong
GOS,Gosford
GRA,
GUN,
HOB,Hobart
HOR,Horsham
HVL,Healesville
IPS,Ipswich
KEM,
LCN,Launceston
LIS,
LIT,
MAN,Mandurah
MAT,Maitland
MBR,Murray Bridge
MBS,
MEA,The Meadows
MOR,
MTG,Mount Gambier
MUD,
MUS,
NOR,
NOW,Nowra
OTG,Forbury Park
PNN,Manawatu
PPK,
PTA,
RIC,Richmond
ROC,Rockhampton
SAN,Sandown Park
SHP,Shepparton
SLE,Sale
SOU,Ascot Park
STR,
TAK,Hatrick
TAM,
TAR,
TEM,Temora
TOK,
TOW,Townsville
TRA,Traralgon
TWH,
WAG,Wagga
WAK,Cambridge
WAN,Hatrick
WAU,
WBL,Warrnambool
WGL,Warragul
WPK,Wentworth Park
YNG,Young
APK,Angle park
